State,Abbreviation,City,crime_index,traffic_index,pollution_index,health_care_index,rent_index,property_price_to_income_ratio,safety_index,cpi_index,Code,lakes_count,parks_count,population,min_wage,quality_of_life
Utah,UT,West Jordan,63.56489262371615,135.68855922514587,20.929118773946357,52.77777777777778,37.40795931388343,3.167852936926016,36.43510737628385,78.24815221212161,UT,8,103,104023,7.25,179.71
California,CA,Anaheim,53.24141524514862,215.23914635834,50.343119524154005,74.07407407407408,60.4229633729235,5.225454869016498,46.75858475485138,78.2307833377066,CA,4,60,336760,13.0,147.82
Minnesota,MN,Bloomington,70.6287281772652,94.54244176807734,55.03061283994346,68.64035087719299,24.725908647525234,1.2566997721366153,29.371271822734805,75.09428620487472,MN,9,15,83036,10.0,132.72
Minnesota,MN,Eden Prairie,29.779411764705888,138.51180483852008,13.505747126436784,56.78811928811929,49.12482013346187,2.890486534437627,70.22058823529412,67.49230400356522,MN,0,27,60899,10.0,242.98
Tennessee,TN,Memphis,74.80821374352442,117.5497877029073,46.611858954658146,43.18181818181818,28.40788476947416,1.4040972967905303,25.19178625647559,62.8959602403813,TN,7,43,652326,7.25,128.34
California,CA,San Clemente,32.095588235294116,143.4168016985259,16.810344827586206,83.25617283950618,50.27500738822783,6.033734760053489,67.90441176470588,73.80435326279355,CA,5,95,63605,13.0,264.46
New Jersey,NJ,Union township,62.709724915607275,112.44251370753284,23.944535668673595,75.81018518518519,26.097068014445135,1.960329504433642,37.29027508439274,74.48056047063994,NJ,3,137,56798,11.0,203.75
Nebraska,NE,Bellevue,52.32843137254902,58.984526375814056,14.511494252873563,99.30555555555556,46.22247846255711,9.575926733479271,47.67156862745098,70.56286601868142,NE,6,64,51634,9.0,250.41
Illinois,IL,Champaign City township,50.32679738562092,142.91064708594172,59.52358839873358,51.79351512684845,50.002800861863975,4.569737657462175,49.673202614379086,80.7892440714105,IL,1,10,81405,10.0,150.66
California,CA,Daly City,56.11614078053606,256.58158192502395,47.36405384791782,65.16642416553947,109.8319117735724,7.298085141246178,43.88385921946394,92.96184829541865,CA,5,131,101262,13.0,155.54
